Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
19,12526,,12526,,12526,Renee Chow,,Architecture,N299,001,Credit,Non-Letter Grade,Satisfactory,Individual Study
11,13404,,13404,,13404,Brody Reiman; Jessica Robbins,,Art Practice,8,001,A,Letter Grade,A,Intro Vis Thinking
9,13406,,13406,,13406,Heesoo Kwon; -,,Art Practice,8,003,A,Letter Grade,A+,Intro Vis Thinking
4,13406,,13406,,13406,Heesoo Kwon; -,,Art Practice,8,003,A,Letter Grade,A,Intro Vis Thinking
3,13406,,13406,,13406,Heesoo Kwon; -,,Art Practice,8,003,A,Letter Grade,A-,Intro Vis Thinking
1,13406,,13406,,13406,Heesoo Kwon; -,,Art Practice,8,003,B,Letter Grade,B-,Intro Vis Thinking
2,13407,,13407,,13407,Nancy Sayavong; -,,Art Practice,8,004,A,Letter Grade,A+,Intro Vis Thinking
6,13407,,13407,,13407,Nancy Sayavong; -,,Art Practice,8,004,A,Letter Grade,A,Intro Vis Thinking
2,13407,,13407,,13407,Nancy Sayavong; -,,Art Practice,8,004,A,Letter Grade,A-,Intro Vis Thinking
1,13407,,13407,,13407,Nancy Sayavong; -,,Art Practice,8,004,F,Letter Grade,F,Intro Vis Thinking
5,15345,,15345,,15345,Indira Morre,,Art Practice,12,001,A,Letter Grade,A+,Drawing: Fdns
10,15345,,15345,,15345,Indira Morre,,Art Practice,12,001,A,Letter Grade,A,Drawing: Fdns
1,15345,,15345,,15345,Indira Morre,,Art Practice,12,001,A,Letter Grade,A-,Drawing: Fdns
10,13408,,13408,,13408,Brody Reiman; Ghazal Rahimi; -,,Art Practice,12,002,A,Letter Grade,A,Drawing: Fdns
6,13408,,13408,,13408,Brody Reiman; Ghazal Rahimi; -,,Art Practice,12,002,A,Letter Grade,A-,Drawing: Fdns
1,13408,,13408,,13408,Brody Reiman; Ghazal Rahimi; -,,Art Practice,12,002,B,Letter Grade,B+,Drawing: Fdns
2,13408,,13408,,13408,Brody Reiman; Ghazal Rahimi; -,,Art Practice,12,002,B,Letter Grade,B,Drawing: Fdns
1,13408,,13408,,13408,Brody Reiman; Ghazal Rahimi; -,,Art Practice,12,002,C,Letter Grade,C+,Drawing: Fdns
1,13408,,13408,,13408,Brody Reiman; Ghazal Rahimi; -,,Art Practice,12,002,Credit,Non-Letter Grade,Pass,Drawing: Fdns
4,15321,,15321,,15321,Ehren Tool; -,,Art Practice,15,001,A,Letter Grade,A+,Ceramics: Fdns
13,15321,,15321,,15321,Ehren Tool; -,,Art Practice,15,001,A,Letter Grade,A,Ceramics: Fdns
1,15321,,15321,,15321,Ehren Tool; -,,Art Practice,15,001,Credit,Non-Letter Grade,Pass,Ceramics: Fdns
12,15715,,15715,,15715,Brian Bartz; Greg Niemeyer,,Art Practice,21,001,A,Letter Grade,A,Digital Photo: Fdns
4,15715,,15715,,15715,Brian Bartz; Greg Niemeyer,,Art Practice,21,001,A,Letter Grade,A-,Digital Photo: Fdns
1,15715,,15715,,15715,Brian Bartz; Greg Niemeyer,,Art Practice,21,001,B,Letter Grade,B-,Digital Photo: Fdns
14,14417,,14417,,14417,Taro Masushio; -,,Art Practice,21,002,A,Letter Grade,A,Digital Photo: Fdns
5,14417,,14417,,14417,Taro Masushio; -,,Art Practice,21,002,A,Letter Grade,A-,Digital Photo: Fdns
1,14417,,14417,,14417,Taro Masushio; -,,Art Practice,21,002,Credit,Non-Letter Grade,Pass,Digital Photo: Fdns
2,13409,,13409,,13409,Brody Reiman; Leena Joshi,,Art Practice,26,001,A,Letter Grade,A+,Moving Image: Fdns
7,13409,,13409,,13409,Brody Reiman; Leena Joshi,,Art Practice,26,001,A,Letter Grade,A,Moving Image: Fdns
1,13409,,13409,,13409,Brody Reiman; Leena Joshi,,Art Practice,26,001,B,Letter Grade,B,Moving Image: Fdns
1,13409,,13409,,13409,Brody Reiman; Leena Joshi,,Art Practice,26,001,F,Letter Grade,F,Moving Image: Fdns
2,13409,,13409,,13409,Brody Reiman; Leena Joshi,,Art Practice,26,001,Credit,Non-Letter Grade,Pass,Moving Image: Fdns
2,13410,,13410,,13410,Anahita Hekmat; -,,Art Practice,102,002,A,Letter Grade,A+,Approaches To Ptng
2,13410,,13410,,13410,Anahita Hekmat; -,,Art Practice,102,002,A,Letter Grade,A,Approaches To Ptng
3,13410,,13410,,13410,Anahita Hekmat; -,,Art Practice,102,002,A,Letter Grade,A-,Approaches To Ptng
1,13410,,13410,,13410,Anahita Hekmat; -,,Art Practice,102,002,B,Letter Grade,B+,Approaches To Ptng
1,13410,,13410,,13410,Anahita Hekmat; -,,Art Practice,102,002,Credit,Non-Letter Grade,Pass,Approaches To Ptng
6,14475,,14475,,14475,Indira Morre,,Art Practice,118,001,A,Letter Grade,A+,Contmp Fig Drw
3,14475,,14475,,14475,Indira Morre,,Art Practice,118,001,A,Letter Grade,A,Contmp Fig Drw
2,14475,,14475,,14475,Indira Morre,,Art Practice,118,001,Credit,Non-Letter Grade,Pass,Contmp Fig Drw
7,14081,,14081,,14081,Edith Garcia Monnet,,Art Practice,119,001,A,Letter Grade,A+,Gpca
5,14081,,14081,,14081,Edith Garcia Monnet,,Art Practice,119,001,A,Letter Grade,A,Gpca
2,14081,,14081,,14081,Edith Garcia Monnet,,Art Practice,119,001,B,Letter Grade,B,Gpca
14,13411,,13411,,13411,Christian Frock; -,,Art Practice,119,002,A,Letter Grade,A+,Gpca
1,13411,,13411,,13411,Christian Frock; -,,Art Practice,119,002,F,Letter Grade,F,Gpca
5,15510,,15510,,15510,Carolyn Hott; -,,Art Practice,160,002,A,Letter Grade,A+,Spec Topics Vis Std
5,15510,,15510,,15510,Carolyn Hott; -,,Art Practice,160,002,A,Letter Grade,A,Spec Topics Vis Std
