name,cityofberkeley_amount,ucberkeley_amount,both_amount,committee name
"finance/Democrat/PHILLIPS-STALEY, EFFIE",500,0,0,EFFIE FOR CONGRESS
"finance/Democrat/PLATNER, GRAHAM",31932,1150,647,GRAHAM FOR MAINE
"finance/Democrat/POINDEXTER, BRIAN",3500,0,0,POINDEXTER FOR CONGRESS
"finance/Democrat/POU, NELIDA",834,250,0,NELLIE POU FOR CONGRESS
"finance/Democrat/POWELL, DENISE",19032.95,833.33,0,DENISE POWELL FOR CONGRESS
"finance/Democrat/PRESSLEY, AYANNA",2260.74,0,180,THE COMMITTEE TO ELECT AYANNA PRESSLEY
"finance/Democrat/PRUITT, MIKE",3750,0,0,MIKE PRUITT FOR CONGRESS
"finance/Democrat/PULIDO, BOBBY",11995.46,833.33,0,BOBBY PULIDO FOR TEXAS
"finance/Democrat/RABB, CHRISTOPHER M.",3100,0,1100,RABB FOR CONGRESS
"finance/Democrat/RAINS, MATTHEW",700,0,0,MATT RAINS FOR MONTANA
"finance/Democrat/RAMIREZ, DELIA",1250,0,120,UNITED WITH DELIA FOR CONGRESS
"finance/Democrat/RAMIREZ, LISA D",500,0,0,LISA D RAMIREZ FOR CONGRESS
"finance/Democrat/RASKIN, JAMIE",10383,0,226,JAMIE RASKIN FOR CONGRESS
"finance/Democrat/REED, JOHN F.",7000,0,0,THE REED COMMITTEE
"finance/Democrat/RHOADES, CRYSTAL",466,0,0,CRYSTAL FOR CONGRESS
"finance/Democrat/RIKER, BRANDON",2578,0,0,RIKER FOR CONGRESS
"finance/Democrat/RILEY, JOSH",2500,250,7000,JOSH RILEY FOR CONGRESS
"finance/Democrat/ROATH, PATRICK THOMAS",250,0,0,FRIENDS OF PATRICK ROATH
"finance/Democrat/ROMERO, DWAYNE",0,5500,0,ROMERO FOR COLORADO
"finance/Democrat/ROSEN, JACKY",2400,0,0,ROSEN FOR NEVADA
"finance/Democrat/ROURK, CAITLIN MCCLAY",3950,0,0,CAITLIN ROURK FOR CONGRESS
