U1	U2	U3	Title	School	Total_Edits
-0.10034973	8.413843	1.0265778	If on a winter's night a traveler	UCSD	1
-3.3969696	10.444405	-0.5286405	Henry John Temple, 3rd Viscount Palmerston	UCB	1
2.0156143	8.164883	2.0963337	Talk:Socialism/Archive 1	UCB	1
-2.7379446	9.934068	0.17044982	Gospel of Luke	UCB	1
0.68680584	7.315323	1.9193019	Postal code	UCR	1
-4.334391	10.350396	0.22573143	Chuck Jones	UCR	1
1.6261218	9.62271	2.2675524	Finland Swedish	UCB	3
1.8915117	7.761627	1.3757033	Collectivism (disambiguation)	UCI	2
-0.23006172	10.577885	3.2163098	Walnut Creek, California	UCSB	8
1.9747233	8.252762	1.7418916	Marx (disambiguation)	UCSD	1
1.2805117	6.1900916	0.34134138	Scheme (programming language)	UCB	4
-3.7563083	10.596025	-0.569094	Talk:Jimmy Walker	UCB	2
1.3152254	10.106617	2.4019883	History of Nicaragua	UCSC	2
1.6898211	7.9366484	1.397256	Historical criticism	UCB	1
2.1299915	8.487152	0.86393917	Homophobia	UCLA	4
-0.75430727	9.1480055	4.291061	Talk:Bowling for Columbine	UCB	2
1.3818015	6.6647882	0.13883027	Cover version	UCB	9
0.19219433	9.215743	-1.9281265	Colocasia esculenta	UCSD	3
1.6768047	10.582867	1.7163717	Taiwanese cuisine	UCSD	19
-0.48148122	8.853418	-2.1503046	Mesona	UCSD	5
1.2636322	9.773174	-0.1483001	Bubble tea	UCSD	28
-0.73971874	9.198249	4.355807	Bowling for Columbine	UCD	3
-2.9399908	8.079469	-1.5632247	Wang Hongwen	UCB	1
-2.972786	8.249955	-1.7033209	Yao Wenyuan	UCB	1
-2.8543327	7.827936	-1.7372206	Zhang Chunqiao	UCB	1
1.584878	10.3861	1.5558931	Chinese language	UCLA	10
-2.5903394	11.79438	0.17406558	Mary Baker Eddy	UCB	1
2.1681414	9.602772	2.430167	Communist party	UCR	3
1.2494727	9.809436	-0.14480509	Tea	UCB	9
1.2014024	6.7589326	0.20969468	Talk:Cover version	UCB	3
1.6271781	7.427964	2.1188	Talk:War on terror/Archive 1	UCB	1
2.5804787	4.0953965	3.4405441	Portal:Current events/October 2003	UCB	4
1.8889344	8.241964	1.9857796	Civil disobedience	UCSC	3
2.1471367	9.768518	2.3418195	East Slavic languages	UCR	1
1.1050045	7.4082947	-0.5698096	Materials science	UCLA	2
-1.041045	8.978117	4.260283	List of defunct professional sports leagues	UCB	1
-1.2635064	7.7184463	1.6762416	Cartoon Network Studios	UCB	1
0.24122	8.773095	-1.8310821	Heraclitus	UCLA	1
-1.0380269	7.287683	1.5721384	Game show	UCB	1
0.35424098	5.9378033	-0.38563314	Whole tone	UCSC	1
-0.5468751	10.363223	2.1529415	Sather Tower	UCB	15
1.4031644	9.919419	1.8994988	Indigenous peoples	UCSD	4
1.3751698	10.145442	0.76517737	Alas, Babylon	UCB	1
-2.8892374	11.5525255	-1.4523298	Dalai Lama	UCB	7
-1.461129	11.131551	-0.15263027	Pope Linus	UCSB	2
2.1161945	10.7259445	2.3837216	Political status of Taiwan	UCLA	3
-1.5707957	8.377752	-2.54722	Kach	UCI	1
